"id","locationID","locality","countrCode","occurrenceStatus","eventDate","datasetID"
"PB:Ugent:AqE:1815","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-08-13","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1831","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-06-04","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1806","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-05-28","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1808","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-06-03","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1834","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-06-18","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1833","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-06-18","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1811","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-07-03","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1809","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-06-05","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1841","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-09-16","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1828","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-09-26","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1837","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-07-14","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1838","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-07-29","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1829","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-10-10","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1812","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-07-10","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
