"taxonID","description","type","source","language"
"alien-macroinvertebrates:taxon:0396fe0cb30083ee34d8692802dbfc3a","cbd_2014_pathway:stowaway_ballast_water","pathway","van Haaren T, Soors J (2009) Sinelobus stanfordi (Richardson, 1901): a new crustacean invader in Europe. Aquatic Invasions 4: 703–711, http://dx.doi.org/10.3391/ai.2009.4.4.20","en"
"alien-macroinvertebrates:taxon:0396fe0cb30083ee34d8692802dbfc3a","cbd_2014_pathway:stowaway_hull_fouling","pathway","van Haaren T, Soors J (2009) Sinelobus stanfordi (Richardson, 1901): a new crustacean invader in Europe. Aquatic Invasions 4: 703–711, http://dx.doi.org/10.3391/ai.2009.4.4.20","en"
"alien-macroinvertebrates:taxon:0396fe0cb30083ee34d8692802dbfc3a","cbd_2014_pathway:escape_aquaculture","pathway","van Haaren T, Soors J (2009) Sinelobus stanfordi (Richardson, 1901): a new crustacean invader in Europe. Aquatic Invasions 4: 703–711, http://dx.doi.org/10.3391/ai.2009.4.4.20","en"
"alien-macroinvertebrates:taxon:0396fe0cb30083ee34d8692802dbfc3a","brackish","habitat","van Haaren T, Soors J (2009) Sinelobus stanfordi (Richardson, 1901): a new crustacean invader in Europe. Aquatic Invasions 4: 703–711, http://dx.doi.org/10.3391/ai.2009.4.4.20","en"
"alien-macroinvertebrates:taxon:05e1226fad2eec66ff6c70764ecf047a","Northern America","native range","Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p","en"
"alien-macroinvertebrates:taxon:05e1226fad2eec66ff6c70764ecf047a","cbd_2014_pathway:escape_aquaculture","pathway","Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p","en"
"alien-macroinvertebrates:taxon:05e1226fad2eec66ff6c70764ecf047a","freshwater","habitat","Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p","en"
"alien-macroinvertebrates:taxon:06b1921ec41577a8c4516c91837ea594","Northeast Asia","native range","Cook EJ, Jahnke M, Kerckhof F, Minchin D, Faasse M, Boos K, Ashton G (2007) European expansion of the introduced amphipod Caprella mutica Schurin, 1935. Aquatic Invasions 2: 411–421, http://dx.doi.org/10.3391/ai.2007.2.4.11","en"
"alien-macroinvertebrates:taxon:06b1921ec41577a8c4516c91837ea594","cbd_2014_pathway:stowaway_hull_fouling","pathway","Cook EJ, Jahnke M, Kerckhof F, Minchin D, Faasse M, Boos K, Ashton G (2007) European expansion of the introduced amphipod Caprella mutica Schurin, 1935. Aquatic Invasions 2: 411–421, http://dx.doi.org/10.3391/ai.2007.2.4.11","en"
"alien-macroinvertebrates:taxon:06b1921ec41577a8c4516c91837ea594","cbd_2014_pathway:escape_aquaculture","pathway","Cook EJ, Jahnke M, Kerckhof F, Minchin D, Faasse M, Boos K, Ashton G (2007) European expansion of the introduced amphipod Caprella mutica Schurin, 1935. Aquatic Invasions 2: 411–421, http://dx.doi.org/10.3391/ai.2007.2.4.11","en"
"alien-macroinvertebrates:taxon:06b1921ec41577a8c4516c91837ea594","marine","habitat","Cook EJ, Jahnke M, Kerckhof F, Minchin D, Faasse M, Boos K, Ashton G (2007) European expansion of the introduced amphipod Caprella mutica Schurin, 1935. Aquatic Invasions 2: 411–421, http://dx.doi.org/10.3391/ai.2007.2.4.11","en"
"alien-macroinvertebrates:taxon:0737719f7e273373da08c01c8dc6162f","Northern America","native range","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:0737719f7e273373da08c01c8dc6162f","cbd_2014_pathway:escape_aquaculture","pathway","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:0737719f7e273373da08c01c8dc6162f","cbd_2014_pathway:escape_pet","pathway","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:0737719f7e273373da08c01c8dc6162f","freshwater","habitat","Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129","en"
"alien-macroinvertebrates:taxon:13883300ac884d3398e25f29b89a6513","Northern America","native range","Van Damme P, Maes J (1993) De Blauwe Zwemkrab Callinectes sapidus Rathbun, 1896 in de Westerschelde (België). De Strandvlo 13(4): 120–121","en"
