taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,eventDate,source
alien-macroinvertebrates-checklist:taxon:0396fe0cb30083ee34d8692802dbfc3a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2007/2016,"van Haaren T, Soors J (2009) Sinelobus stanfordi (Richardson, 1901): a new crustacean invader in Europe. Aquatic Invasions 4: 703–711, https://doi.org/10.3391/ai.2009.4.4.20"
alien-macroinvertebrates-checklist:taxon:05e1226fad2eec66ff6c70764ecf047a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1986/2016,"Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p"
alien-macroinvertebrates-checklist:taxon:06b1921ec41577a8c4516c91837ea594,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1998/2016,"Cook EJ, Jahnke M, Kerckhof F, Minchin D, Faasse M, Boos K, Ashton G (2007) European expansion of the introduced amphipod Caprella mutica Schurin, 1935. Aquatic Invasions 2: 411–421, https://doi.org/10.3391/ai.2007.2.4.11"
alien-macroinvertebrates-checklist:taxon:0737719f7e273373da08c01c8dc6162f,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1977/2016,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
alien-macroinvertebrates-checklist:taxon:13883300ac884d3398e25f29b89a6513,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1993/2016,"Van Damme P, Maes J (1993) De Blauwe Zwemkrab Callinectes sapidus Rathbun, 1896 in de Westerschelde (België). De Strandvlo 13(4): 120–121"
alien-macroinvertebrates-checklist:taxon:151b9f1f8474dc7154761d78ba5f67e9,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1969/2016,Leloup E (1971) Recherches sur l'ostréiculture dans le bassin de chasse d'Ostende pendant l'année 1969. Bulletin de l'Institut Royal des Sciences Naturelles de Belgique = Mededelingen van het Koninklijk Belgisch Instituut voor Natuurwetenschappen 47(25): 1–16
alien-macroinvertebrates-checklist:taxon:15e890b3c78f52beed30d155c9eb7010,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1998/2016,"Sablon R, Vercauteren T, Lammens S, Ghyselbrecht E (2010a) Freshwater Molluscs introduced in Belgium in the last two Decades – Abstracts of the World Congress of Malacology, Phuket, Thailand, 18–24 July 2010, p 353"
alien-macroinvertebrates-checklist:taxon:168d9fe6e451a8310f9b3b0e37b6b449,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2001/2016,"Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97"
alien-macroinvertebrates-checklist:taxon:24d08291b1402cb932dc57a976620268,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1925/2016,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
alien-macroinvertebrates-checklist:taxon:2915e4154ca346f95081f7a49c89ff44,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1996/2016,"Faasse M, Van Moorsel G (2003) The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the western Scheldt estuary (The Netherlands). Aquatic Ecology 37: 13–22, https://doi.org/10.1023/A:1022120729031"
alien-macroinvertebrates-checklist:taxon:2aedcef1f03b604ebf88f203168046d6,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1993/2016,"Dewicke A (2002) Hyperbenthic communities of the North Sea. PhD Thesis. Universiteit Gent (RUG): Gent, 219 pp Dumortier M, De Bruyn L, Hens M, Peymen J, Schneiders A, Van Daele T, Van Reeth W (2007) Biodiversity Indicators 2007. State of Nature in Flanders (Belgium). Research Institute for Nature and Forest, Brussels, Belgium"
alien-macroinvertebrates-checklist:taxon:355c3f4b378677a04aebea174fb90093,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2004/2016,"Verween A, Kerckhof F, Vincx M, Degraer S (2006) First European record of the invasive brackish water clam Rangia cuneata (G.W. Sowerby I, 1831) (Mollusca: Bivalvia). Aquatic Invasions 1: 198–203, https://doi.org/10.3391/ai.2006.1.4.1"
alien-macroinvertebrates-checklist:taxon:3978a92354724ef73a33fd372023fcb2,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2014/2016,"Boets P, Brosens D, Lock K, Adriaens T, Aelterman B, Mertens J & Goethals P. 2016. Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions 11 (2): 131–144. https://doi.org/10.3391/ai.2016.11.2.03"
alien-macroinvertebrates-checklist:taxon:39ed57053da56ec1a35d91ba054ed65a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2008/2016,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
alien-macroinvertebrates-checklist:taxon:3db73d0aa90d26487c229ea067087531,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1998/2016,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
alien-macroinvertebrates-checklist:taxon:464f0edd615ac93ab279f425dc1060a3,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1986/2016,"Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p"
alien-macroinvertebrates-checklist:taxon:48735233e21ae4254b0691f8eef543c2,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1899/2016,Loppens K (1902) Petricola pholadiformis L. Annales de la Société Royale Zoologique et Malacologique de Belgique 37: 41–42
alien-macroinvertebrates-checklist:taxon:4e75374d4157cc047fea212a1f0774c7,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1869/2016,"Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
alien-macroinvertebrates-checklist:taxon:54cca150e1e0b7c0b3f5b152ae64d62b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1895/2016,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
alien-macroinvertebrates-checklist:taxon:561d4e5573f8471fb2a071995dec3d52,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1999/2016,"Keppens M, Mienis HK (2004) A propos de la présence de Sinanodonta woodiana (Lea, 1834) en Belgique. Novapex Société 5: 78–81"
alien-macroinvertebrates-checklist:taxon:563893a5246109760d8b15c5692dab7f,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1933/2016,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
alien-macroinvertebrates-checklist:taxon:5a7d3a2d0f5058bef64c0e463c16f835,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2002/2016,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
