"language","license","""Ghent University Aquatic Ecology""","accessRights","datasetID","datasetName","references","taxonID","scientificName","kingdom","phylum","order","family","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:1","Amphibalanus amphitrite","Animalia","Crustacea","Sessilia","Balanidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:2","Amphibalanus improvisus","Animalia","Crustacea","Sessilia","Balanidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:3","Amphibalanus reticulatus","Animalia","Crustacea","Sessilia","Balanidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:4","Astacus leptodactylus","Animalia","Crustacea","Decapoda","Astacidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:5","Atyaephyra desmaresti","Animalia","Crustacea","Decapoda","Atyidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:6","Austrominius modestus","Animalia","Crustacea","Sessilia","Austrobalanidae ","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:7","Branchiodrilus hortensis","Animalia","Annelida","Tubficida","Naididae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:8","Branchiura sowerbyi","Animalia","Annelida","Tubficida","Tubificidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:9","Bratislavia dadayi","Animalia","Annelida","Tubficida","Naididae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","http://www.inbo.be/en/norms-for-data-use","","Checklist of alien macroinvertebrates in Flanders, Belgium","http://www.aquaticinvasions.net/2016/AI_2016_Boets_etal.pdf","alien-macroinvertebrates-checklist:taxon:10","Callinectes sapidus","Animalia","Crustacea","Decapoda","Portunidae","species","ICZN"
