id	occurrenceID	recordedBy	otherCatalogNumbers	eventDate	municipality	verbatimLocality	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	identifiedBy	scientificName	taxonRank	scientificNameAuthorship
PB:Ugent:AqE:1815	PB:Ugent:AqE:1815	T. Warmoes	INBO:NBN:BFN0017900009QRS	13/08/2002	Weert		5.121.656	558.311	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1831	PB:Ugent:AqE:1831	T. Warmoes	INBO:NBN:BFN0017900009QRT	4/06/2003	Dilsen-Stokkem		5.102.145	575.043	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1806	PB:Ugent:AqE:1806	T. Warmoes	INBO:NBN:BFN0017900009QRW	28/05/2002	Ham		5.109.901	513.642	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1808	PB:Ugent:AqE:1808	T. Warmoes	INBO:NBN:BFN0017900009QRX	3/06/2002	Lanaken		5.088.051	563.255	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1834	PB:Ugent:AqE:1834	T. Warmoes	INBO:NBN:BFN0017900009QRZ	18/06/2003	Lanaken		5.089.109	568.3	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1833	PB:Ugent:AqE:1833	T. Warmoes	INBO:NBN:BFN0017900009QS0	18/06/2003	Lanaken		5.090.414	568.637	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1811	PB:Ugent:AqE:1811	T. Warmoes	INBO:NBN:BFN0017900009QS1	3/07/2002	Maaseik		5.110.958	568.038	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1809	PB:Ugent:AqE:1809	T. Warmoes	INBO:NBN:BFN0017900009QS2	5/06/2002	Mechelen		5.105.434	443.351	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1841	PB:Ugent:AqE:1841	T. Warmoes	INBO:NBN:BFN0017900009QS5	16/09/2003	Oudenburg		5.117.550	304.208	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1828	PB:Ugent:AqE:1828	T. Warmoes	INBO:NBN:BFN0017900009QS6	26/09/2002	Ranst		5.117.625	463.652	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1837	PB:Ugent:AqE:1837	T. Warmoes	INBO:NBN:BFN0017900009QS8	14/07/2003	Riemst		5.081.064	567.092	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1838	PB:Ugent:AqE:1838	T. Warmoes	INBO:NBN:BFN0017900009QS9	29/07/2003	Sint-Pieters-Leeuw		5.080.823	429.692	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1829	PB:Ugent:AqE:1829	T. Warmoes	INBO:NBN:BFN0017900009QSB	10/10/2002	Willebroek		5.106.163	440.442	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1812	PB:Ugent:AqE:1812	T. Warmoes	INBO:NBN:BFN0017900009QSE	10/07/2002	Arendonk		5.130.163	514.107	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1807	PB:Ugent:AqE:1807	T. Warmoes	INBO:NBN:BFN0017900009QSF	30/05/2002	Lier		5.111.651	456.295	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1820	PB:Ugent:AqE:1820	T. Warmoes	INBO:NBN:BFN0017900009QSH	10/09/2002	Dessel		5.123.962	506.924	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1839	PB:Ugent:AqE:1839	T. Warmoes	INBO:NBN:BFN0017900009QSI	18/08/2003	Dessel		5.123.177	511.376	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1804	PB:Ugent:AqE:1804	T. Warmoes	INBO:NBN:BFN0017900009QSJ	20/05/2002	Meerhout		5.109.779	510.886	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1836	PB:Ugent:AqE:1836	T. Warmoes	INBO:NBN:BFN0017900009QSK	3/07/2003	Meerhout		5.109.779	510.886	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1842	PB:Ugent:AqE:1842	T. Warmoes	INBO:NBN:BFN0017900009QSL	27/10/2003	Geel		5.111.656	498.53	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1805	PB:Ugent:AqE:1805	T. Warmoes	INBO:NBN:BFN0017900009QSM	27/05/2002	Rijkevorsel		5.132.889	476.028	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1819	PB:Ugent:AqE:1819	T. Warmoes	INBO:NBN:BFN0017900009QSN	9/09/2002	Retie		5.126.109	509.309	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1810	PB:Ugent:AqE:1810	T. Warmoes	INBO:NBN:BFN0017900009QSP	3/07/2002	Lommel		5.125.013	526.846	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:2012	PB:Ugent:AqE:2012	T. Warmoes	INBO:NBN:BFN0017900009QSQ	13/10/1992	Bocholt		5.117.924	563.105	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1832	PB:Ugent:AqE:1832	T. Warmoes	INBO:NBN:BFN0017900009QST	12/06/2003	Drogenbos		5.079.274	429.433	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1830	PB:Ugent:AqE:1830	T. Warmoes	INBO:NBN:BFN0017900009QSU	21/10/2002	De Panne		5.106.976	259.275	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1840	PB:Ugent:AqE:1840	T. Warmoes	INBO:NBN:BFN0017900009QSV	8/09/2003	Harelbeke		5.083.954	331.846	30	T. Warmoes	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1963	PB:Ugent:AqE:1963	Unknown	INBO:NBN:BFN0017900009QSX	1989	Heeze-Leende		5.130.278	548.713	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1852	PB:Ugent:AqE:1852	Unknown	INBO:NBN:BFN0017900009QSY	17/06/2004	Weert		5.121.656	558.311	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1863	PB:Ugent:AqE:1863	Unknown	INBO:NBN:BFN0017900009QSZ	3/12/2004	Damme		5.127.265	330.428	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:2002	PB:Ugent:AqE:2002	Unknown	INBO:NBN:BFN0017900009QT0	1994	Denderleeuw		5.091.077	406.174	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1762	PB:Ugent:AqE:1762	Unknown	INBO:NBN:BFN0017900009QT1	2004	Denderleeuw		5.091.077	406.174	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1857	PB:Ugent:AqE:1857	Unknown	INBO:NBN:BFN0017900009QT2	13/07/2004	Dilsen-Stokkem		5.103.347	573.758	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:2904	PB:Ugent:AqE:2904	Unknown	INBO:NBN:BFN0017900009QRQ	2009	Geel		5.110.058	497.994	30	Unknown	Procambarus clarkii	species	(Girard, 1852)
PB:Ugent:AqE:2905	PB:Ugent:AqE:2905	Unknown	INBO:NBN:BFN0017900009QRP	2009	Laakdal		5.108.684	500.311	30	Unknown	Procambarus clarkii	species	(Girard, 1852)
PB:Ugent:AqE:2906	PB:Ugent:AqE:2906	Unknown	INBO:NBN:BFN0017900009QRO	14/03/2011	Damme		5.129.170	333.788	30	Unknown	Procambarus clarkii	species	(Girard, 1852)
PB:Ugent:AqE:1855	PB:Ugent:AqE:1855	Unknown	INBO:NBN:BFN0017900009QT3	24/06/2004	Dilsen-Stokkem		5.102.145	575.043	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1860	PB:Ugent:AqE:1860	Unknown	INBO:NBN:BFN0017900009QT4	12/08/2004	Genk		5.093.627	549.966	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1862	PB:Ugent:AqE:1862	Unknown	INBO:NBN:BFN0017900009QT5	3/12/2004	Oudenburg		5.117.550	304.208	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1861	PB:Ugent:AqE:1861	Unknown	INBO:NBN:BFN0017900009QT6	28/09/2004	Riemst		5.081.064	567.092	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1858	PB:Ugent:AqE:1858	Unknown	INBO:NBN:BFN0017900009QT7	22/07/2004	Sint-Pieters-Leeuw		5.080.823	429.692	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1848	PB:Ugent:AqE:1848	Unknown	INBO:NBN:BFN0017900009QT8	16/04/2004	Zemst		5.098.659	451.512	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1859	PB:Ugent:AqE:1859	Unknown	INBO:NBN:BFN0017900009QT9	12/08/2004	Hasselt		5.096.938	527.991	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1856	PB:Ugent:AqE:1856	Unknown	INBO:NBN:BFN0017900009QTA	1/07/2004	Lommel		5.125.742	539.369	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
PB:Ugent:AqE:1853	PB:Ugent:AqE:1853	Unknown	INBO:NBN:BFN0017900009QTB	17/06/2004	Bocholt		5.119.821	554.55	30	Unknown	Orconectes limosus	species	(Rafinesque, 1817)
