taxon_occurrence_key	taxon_occurrence_comment	nameserver_recommended_scientific_name	nameserver_recommended_name_authority	nameserver_recommended_name_rank	sample_vague_date_start	sample_vague_date_end	sample_vague_date_type	survey_event_comment	location_name_item_name	survey_event_location_name	sample_lat	sample_long	sample_spatial_ref	sample_spatial_ref_system	sample_spatial_ref_qualifier
BFN0017900009QRO	PB:Ugent:AqE:2906	Procambarus clarkii	(Girard, 1852)	Spp	2011-03-16 00:00:00.000	2011-03-16 00:00:00.000	D	NULL	Damme	NULL	51,2917039321127	3,33787615648995	78089.0,220704.0	BD72	Imported
BFN0017900009QRP	PB:Ugent:AqE:2905	Procambarus clarkii	(Girard, 1852)	Spp	2009-01-03 00:00:00.000	2010-01-02 00:00:00.000	Y	NULL	Laakdal	NULL	51,0868389225402	5,00310740316376	194446.0,197604.0	BD72	Imported
BFN0017900009QRQ	PB:Ugent:AqE:2904	Procambarus clarkii	(Girard, 1852)	Spp	2009-01-03 00:00:00.000	2010-01-02 00:00:00.000	Y	NULL	Geel	NULL	51,1005800032735	4,97993697973969	192810.0,199119.0	BD72	Imported
BFN0017900009QRS	PB:Ugent:AqE:1815	Orconectes limosus	(Rafinesque, 1817)	Spp	2002-08-15 00:00:00.000	2002-08-15 00:00:00.000	D	2004_KreeftenBBICalc_Warmoes	Weert	NULL	51,2165593647505	5,58310964700181	234845.0,212540.0	BD72	Imported
BFN0017900009QRT	PB:Ugent:AqE:1831	Orconectes limosus	(Rafinesque, 1817)	Spp	2003-06-06 00:00:00.000	2003-06-06 00:00:00.000	D	2004_KreeftenBBICalc_Warmoes	Dilsen-Stokkem	NULL	51,0214476671045	5,75042616893119	246938.0,191042.0	BD72	Imported
BFN0017900009QRW	PB:Ugent:AqE:1806	Orconectes limosus	(Rafinesque, 1817)	Spp	2002-05-30 00:00:00.000	2002-05-30 00:00:00.000	D	2004_KreeftenBBICalc_Warmoes	Ham	NULL	51,0990079250055	5,13641646066324	203772.0,199046.0	BD72	Imported
BFN0017900009QRX	PB:Ugent:AqE:1808	Orconectes limosus	(Rafinesque, 1817)	Spp	2002-06-05 00:00:00.000	2002-06-05 00:00:00.000	D	2004_KreeftenBBICalc_Warmoes	Lanaken	NULL	50,8805065161297	5,63255468123521	238936.0,175218.0	BD72	Imported
BFN0017900009QRZ	PB:Ugent:AqE:1834	Orconectes limosus	(Rafinesque, 1817)	Spp	2003-06-20 00:00:00.000	2003-06-20 00:00:00.000	D	2004_KreeftenBBICalc_Warmoes	Lanaken	NULL	50,8910916942248	5,68300418031443	242465.0,176457.0	BD72	Imported
BFN0017900009QS0	PB:Ugent:AqE:1833	Orconectes limosus	(Rafinesque, 1817)	Spp	2003-06-20 00:00:00.000	2003-06-20 00:00:00.000	D	2004_KreeftenBBICalc_Warmoes	Lanaken	NULL	50,9041445562988	5,68637001826387	242676.0,177913.0	BD72	Imported
BFN0017900009QS1	PB:Ugent:AqE:1811	Orconectes limosus	(Rafinesque, 1817)	Spp	2002-07-05 00:00:00.000	2002-07-05 00:00:00.000	D	2004_KreeftenBBICalc_Warmoes	Maaseik	NULL	51,1095813138457	5,68038281806846	241851.0,200756.0	BD72	Imported
BFN0017900009QS2	PB:Ugent:AqE:1809	Orconectes limosus	(Rafinesque, 1817)	Spp	2002-06-07 00:00:00.000	2002-06-07 00:00:00.000	D	2004_KreeftenBBICalc_Warmoes	Mechelen	NULL	51,054337784662	4,4335051741534	154540.0,193800.0	BD72	Imported
BFN0017900009QS5	PB:Ugent:AqE:1841	Orconectes limosus	(Rafinesque, 1817)	Spp	2003-09-18 00:00:00.000	2003-09-18 00:00:00.000	D	2004_KreeftenBBICalc_Warmoes	Oudenburg	NULL	51,1754988002477	3,04207544584323	57226.0,208105.0	BD72	Imported
